num, g
11328459, 92 162 107
11328460, 91 141 102 207
11328461, 17 178 145 106
11328462, 12 135 103 202 219
11328463, 90 160 140 192 99
11328464, 92 153 112 107 189
11328465, 11 103 199 177 215
11328466, 48 172 102 213 211
11328467, 88 114 93 214 216 210
11328468, 82 114 174 93 201 219
11330600, 82 149 205 215 214 97
11330654, 91 102 112 186
11330655, 89 102 112 186 217
11330657, 92 102 112 186
11330658, 89 102 112 186
11330659, 90 102 112 186
11330749, 91 147 94 197 188 214 215
11330750, 17 143 169 97 197 189 214
11330814, 91 94 110 197 214
11330815, 92 94 110 197 214
11330818, 89 99 154 174 197
11330842, 40 117 99 172 184
11330851, 41 127 105 174 209 214 203
11330853, 73 143 105 167 191 197
11330908, 59 79 204 148 105 207 219
11331195, 29 150 105 196 215
11331227, 90 108 102 185
11331228, 82 192 167 100
11331343, 91 110 105 184 214
11331437, 18 93 147 205 218
11331454, 85 98 114 187
11332652, 38 172
11332680, 17 168 103
11332681, 82 210 142 95
11332682, 24 187 149 95
11332683, 51 203 177 103
11332684, 15 184 143 103
11332685, 43 187 119 101
11332686, 44 196 134 106
11332687, 9 178 109 107 219
11332688, 17 216 170 181 103
11332689, 18 209 147 107 215
11332809, 82 190 176 93 212
11332859, 87 212 146 169 106 214
11332888, 88 119 99 205 209 214 167
11332931, 6 172
11332932, 37 175
11332933, 5 172
11332934, 3 172
11332935, 4 172
11332936, 7 170
11332937, 7 172
11332938, 2 145
11332939, 3 172
11332940, 1 143
11332941, 2 172
11332942, 29 172
11332943, 0 172
11332944, 2 172
11332945, 1 142
11332946, 29 145
11332947, 4 139 215
11332948, 10 179 176
11332949, 11 172 201
11332950, 9 172 186
11332951, 10 179 176 143
11332952, 10 150 202 215
11332976, 21 107 170 219
11332977, 39 190 125 105
11332978, 61 119 101 179
11332979, 91 161 104 207
11332980, 90 160 101 188
11332981, 92 165 185 107
11332982, 16 192 133 100 208
11332983, 92 164 169 107 189
11332984, 9 205 150 106 218
11332985, 91 161 133 211 214 213 104
11334529, 15 172 143 214 179
